2019-08-30,1.0003,1.0003,0.01%,封闭期,封闭期
2019-09-02,1.0003,1.0003,0.00%,开放申购,开放赎回
2019-09-03,0.9981,0.9981,-0.22%,开放申购,开放赎回
2019-09-04,1.0000,1.0000,0.19%,开放申购,开放赎回
2019-09-05,1.0000,1.0000,0.00%,开放申购,开放赎回
2019-09-06,0.9999,0.9999,-0.01%,开放申购,开放赎回
2019-09-09,1.0002,1.0002,0.03%,开放申购,开放赎回
2019-09-10,0.9997,0.9997,-0.05%,开放申购,开放赎回
2019-09-11,1.0005,1.0005,0.08%,开放申购,开放赎回
2019-09-12,1.0021,1.0021,0.16%,开放申购,开放赎回
2019-09-16,1.0037,1.0037,0.16%,开放申购,开放赎回
2019-09-17,1.0028,1.0028,-0.09%,开放申购,开放赎回
2019-09-18,1.0040,1.0040,0.12%,开放申购,开放赎回
2019-09-19,1.0028,1.0028,-0.12%,开放申购,开放赎回
2019-09-20,1.0024,1.0024,-0.04%,开放申购,开放赎回
2019-09-23,0.9995,0.9995,-0.29%,开放申购,开放赎回
2019-09-24,0.9999,0.9999,0.04%,开放申购,开放赎回
2019-09-25,1.0035,1.0035,0.36%,开放申购,开放赎回
2019-09-26,1.0034,1.0034,-0.01%,开放申购,开放赎回
2019-09-27,1.0028,1.0028,-0.06%,开放申购,开放赎回
2019-09-30,0.9961,0.9961,-0.67%,开放申购,开放赎回
2019-10-08,0.9956,0.9956,-0.05%,开放申购,开放赎回
2019-10-09,0.9995,0.9995,0.39%,开放申购,开放赎回
2019-10-10,1.0037,1.0037,0.42%,开放申购,开放赎回
2019-10-11,1.0049,1.0049,0.12%,开放申购,开放赎回
2019-10-14,1.0049,1.0049,0.00%,暂停申购,暂停赎回
2019-10-15,1.0085,1.0085,0.36%,开放申购,开放赎回
2019-10-16,1.0045,1.0045,-0.40%,开放申购,开放赎回
2019-10-17,1.0046,1.0046,0.01%,开放申购,开放赎回
2019-10-18,1.0029,1.0029,-0.17%,开放申购,开放赎回
2019-10-21,1.0076,1.0076,0.47%,开放申购,开放赎回
2019-10-22,1.0076,1.0076,0.00%,暂停申购,暂停赎回
2019-10-23,1.0133,1.0133,0.57%,开放申购,开放赎回
2019-10-24,1.0117,1.0117,-0.16%,开放申购,开放赎回
2019-10-25,1.0148,1.0148,0.31%,开放申购,开放赎回
2019-10-28,1.0164,1.0164,0.16%,开放申购,开放赎回
2019-10-29,1.0181,1.0181,0.17%,开放申购,开放赎回
2019-10-30,1.0208,1.0208,0.27%,开放申购,开放赎回
2019-10-31,1.0146,1.0146,-0.61%,开放申购,开放赎回
2019-11-01,1.0256,1.0256,1.08%,开放申购,开放赎回
2019-11-04,1.0256,1.0256,0.00%,暂停申购,暂停赎回
2019-11-05,1.0388,1.0388,1.29%,开放申购,开放赎回
2019-11-06,1.0285,1.0285,-0.99%,开放申购,开放赎回
2019-11-07,1.0394,1.0394,1.06%,开放申购,开放赎回
2019-11-08,1.0313,1.0313,-0.78%,开放申购,开放赎回
2019-11-11,1.0291,1.0291,-0.21%,开放申购,开放赎回
2019-11-12,1.0355,1.0355,0.62%,开放申购,开放赎回
2019-11-13,1.0296,1.0296,-0.57%,开放申购,开放赎回
2019-11-14,1.0213,1.0213,-0.81%,开放申购,开放赎回
2019-11-15,1.0345,1.0345,1.29%,开放申购,开放赎回
2019-11-18,1.0333,1.0333,-0.12%,开放申购,开放赎回
2019-11-19,1.0302,1.0302,-0.30%,开放申购,开放赎回
2019-11-20,1.0315,1.0315,0.13%,开放申购,开放赎回
2019-11-21,1.0319,1.0319,0.04%,开放申购,开放赎回
2019-11-22,1.0335,1.0335,0.16%,开放申购,开放赎回
2019-11-25,1.0435,1.0435,0.97%,开放申购,开放赎回
2019-11-26,1.0478,1.0478,0.41%,开放申购,开放赎回
2019-11-27,1.0594,1.0594,1.11%,开放申购,开放赎回
2019-11-28,1.0558,1.0558,-0.34%,开放申购,开放赎回
2019-11-29,1.0517,1.0517,-0.39%,开放申购,开放赎回
2019-12-02,1.0534,1.0534,0.16%,开放申购,开放赎回
2019-12-03,1.0493,1.0493,-0.39%,开放申购,开放赎回
2019-12-04,1.0538,1.0538,0.43%,开放申购,开放赎回
2019-12-05,1.0599,1.0599,0.58%,开放申购,开放赎回
2019-12-06,1.0624,1.0624,0.24%,开放申购,开放赎回
2019-12-09,1.0660,1.0660,0.34%,开放申购,开放赎回
2019-12-10,1.0730,1.0730,0.66%,开放申购,开放赎回
2019-12-11,1.0607,1.0607,-1.15%,开放申购,开放赎回
2019-12-12,1.0738,1.0738,1.24%,开放申购,开放赎回
2019-12-13,1.0811,1.0811,0.68%,开放申购,开放赎回
2019-12-16,1.0770,1.0770,-0.38%,开放申购,开放赎回
2019-12-17,1.0804,1.0804,0.32%,开放申购,开放赎回
2019-12-18,1.0750,1.0750,-0.50%,开放申购,开放赎回
2019-12-19,1.0680,1.0680,-0.65%,开放申购,开放赎回
2019-12-20,1.0773,1.0773,0.87%,开放申购,开放赎回
2019-12-23,1.0763,1.0763,-0.09%,开放申购,开放赎回
2019-12-24,1.0812,1.0812,0.46%,开放申购,开放赎回
2019-12-25,1.0820,1.0820,0.07%,开放申购,开放赎回
2019-12-26,1.0858,1.0858,0.35%,开放申购,开放赎回
2019-12-27,1.0870,1.0870,0.11%,开放申购,开放赎回
2019-12-30,1.0785,1.0785,-0.78%,开放申购,开放赎回
2019-12-31,1.0842,1.0842,0.53%,暂停申购,暂停赎回
2020-01-02,1.0842,1.0842,0.00%,暂停申购,暂停赎回
2020-01-03,1.0842,1.0842,0.00%,暂停申购,暂停赎回
2020-01-06,1.0775,1.0775,-0.62%,开放申购,开放赎回
2020-01-07,1.0926,1.0926,1.40%,开放申购,开放赎回
2020-01-08,1.0763,1.0763,-1.49%,开放申购,开放赎回
